,perimeter,area,radius,non-smoothness,non-circularity,symmetry
cell 1,364.77669155597687,9513.5,56.74138641357422,0.9427819027871466,0.11302257637946367,0.00039094548462081935
cell 2,468.173660159111,15124.5,74.77819061279297,0.9288511236343568,0.1532489351851487,0.0019157190247482414
cell 3,317.07820773124695,7126.0,49.61984634399414,0.9437969859887952,0.1227346015319053,0.0016867187874800016
cell 4,277.32084918022156,5137.5,48.283119201660156,0.9297825535765043,0.19125118001639185,0.005468593187089171
